x;y;Latitude;Longitude;Street;
19.03.2003;33,32;;;;
20.03.2003;33,32;;;;
21.03.2003;33,32;;;;
22.03.2003;33,32;;;;
23.03.2003;33,32;;;;
24.03.2003;33,32;;;;
25.03.2003;33,32;;;;
26.03.2003;33,32;;;;
27.03.2003;33,32;;;;
28.03.2003;33,32;;;;
29.03.2003;33,32;;;;
30.03.2003;33,32;;;;
31.03.2003;33,31;;;;
01.04.2003;33,31;;;;
02.04.2003;33,32;;;;
03.04.2003;33,31;;;;
04.04.2003;33,3;;;;
05.04.2003;33,3;;;;
06.04.2003;33,3;;;;
07.04.2003;33,29;;;;
08.04.2003;33,29;;;;
09.04.2003;33,3;;;;
10.04.2003;33,31;;;;
11.04.2003;33,3;;;;
12.04.2003;33,29;;;;
13.04.2003;33,28;;;;
14.04.2003;33,28;;;;
15.04.2003;33,28;;;;
16.04.2003;33,27;;;;
17.04.2003;33,27;;;;
18.04.2003;33,26;;;;
19.04.2003;33,27;;;;
20.04.2003;33,27;;;;
21.04.2003;33,26;;;;
22.04.2003;33,26;;;;
23.04.2003;33,25;;;;
24.04.2003;33,25;;;;
25.04.2003;33,25;;;;
26.04.2003;33,25;;;;
27.04.2003;33,24;;;;
28.04.2003;33,24;;;;
29.04.2003;33,24;;;;
30.04.2003;33,23;;;;
01.05.2003;33,23;;;;
02.05.2003;33,22;;;;
03.05.2003;33,22;;;;
04.05.2003;33,22;;;;
05.05.2003;33,21;;;;
06.05.2003;33,21;;;;
07.05.2003;33,2;;;;
08.05.2003;33,2;;;;
09.05.2003;33,2;;;;
10.05.2003;33,19;;;;
11.05.2003;33,19;;;;
12.05.2003;33,19;;;;
13.05.2003;33,19;;;;
14.05.2003;33,18;;;;
15.05.2003;33,18;;;;
16.05.2003;33,17;;;;
17.05.2003;33,17;;;;
18.05.2003;33,17;;;;
19.05.2003;33,17;;;;
20.05.2003;33,16;;;;
21.05.2003;33,16;;;;
22.05.2003;33,16;;;;
23.05.2003;33,15;;;;
24.05.2003;33,15;;;;
25.05.2003;33,15;;;;
26.05.2003;33,14;;;;
27.05.2003;33,14;;;;
28.05.2003;33,14;;;;
29.05.2003;33,13;;;;
30.05.2003;33,13;;;;
31.05.2003;33,13;;;;
01.06.2003;33,12;;;;
02.06.2003;33,12;;;;
03.06.2003;33,12;;;;
04.06.2003;33,11;;;;
05.06.2003;33,11;;;;
06.06.2003;33,1;;;;
07.06.2003;33,1;;;;
08.06.2003;33,1;;;;
09.06.2003;33,09;;;;
10.06.2003;33,09;;;;
11.06.2003;33,08;;;;
12.06.2003;33,08;;;;
13.06.2003;33,07;;;;
14.06.2003;33,06;;;;
15.06.2003;33,06;;;;
16.06.2003;33,06;;;;
17.06.2003;33,05;;;;
18.06.2003;33,05;;;;
19.06.2003;33,04;;;;
20.06.2003;33,04;;;;
21.06.2003;33,03;;;;
22.06.2003;33,03;;;;
23.06.2003;33,03;;;;
24.06.2003;33,02;;;;
25.06.2003;33,02;;;;
26.06.2003;33,01;;;;
27.06.2003;33,01;;;;
28.06.2003;33;;;;
29.06.2003;33;;;;
30.06.2003;33;;;;
01.07.2003;32,99;;;;
02.07.2003;32,99;;;;
03.07.2003;32,98;;;;
04.07.2003;32,98;;;;
05.07.2003;32,97;;;;
06.07.2003;32,97;;;;
07.07.2003;32,96;;;;
08.07.2003;32,96;;;;
09.07.2003;32,96;;;;
10.07.2003;32,95;;;;
11.07.2003;32,95;;;;
12.07.2003;32,94;;;;
13.07.2003;32,94;;;;
14.07.2003;32,94;;;;
15.07.2003;32,93;;;;
16.07.2003;32,93;;;;
17.07.2003;32,92;;;;
18.07.2003;32,92;;;;
19.07.2003;32,91;;;;
20.07.2003;32,91;;;;
21.07.2003;32,91;;;;
22.07.2003;32,9;;;;
23.07.2003;32,9;;;;
24.07.2003;32,9;;;;
25.07.2003;32,89;;;;
26.07.2003;32,89;;;;
27.07.2003;32,89;;;;
28.07.2003;32,88;;;;
29.07.2003;32,88;;;;
30.07.2003;32,87;;;;
31.07.2003;32,87;;;;
01.08.2003;32,87;;;;
02.08.2003;32,86;;;;
03.08.2003;32,86;;;;
04.08.2003;32,85;;;;
05.08.2003;32,85;;;;
06.08.2003;32,85;;;;
07.08.2003;32,84;;;;
08.08.2003;32,84;;;;
09.08.2003;32,83;;;;
10.08.2003;32,83;;;;
11.08.2003;32,83;;;;
12.08.2003;32,82;;;;
13.08.2003;32,82;;;;
14.08.2003;32,81;;;;
15.08.2003;32,81;;;;
16.08.2003;32,8;;;;
17.08.2003;32,8;;;;
18.08.2003;32,8;;;;
19.08.2003;32,79;;;;
20.08.2003;32,79;;;;
21.08.2003;32,78;;;;
22.08.2003;32,78;;;;
23.08.2003;32,77;;;;
24.08.2003;32,77;;;;
25.08.2003;32,76;;;;
26.08.2003;32,76;;;;
27.08.2003;32,76;;;;
28.08.2003;32,75;;;;
29.08.2003;32,75;;;;
30.08.2003;32,74;;;;
31.08.2003;32,74;;;;
01.09.2003;32,73;;;;
02.09.2003;32,73;;;;
