Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2014;5,1;7,2;9,5;5,9;0,7;3,1;62;78,8;90;15;43
02.01.2014;6,2;9,2;10,6;0,4;3,1;4,9;77;82,5;92;17;52
03.01.2014;6,3;9,1;13,4;2,2;4,8;5,4;66;82,2;93;17;72
04.01.2014;6;7,8;9,8;0;2,3;4,8;70;81,8;92;17;41
05.01.2014;5,2;6,9;8,8;5,1;0,0;4,5;69;82,8;97;14;33
06.01.2014;5,3;9,9;13,2;0;1,2;5;75;83,4;94;18;44
07.01.2014;9,5;11,7;14;4,4;1,0;8,5;62;73,5;88;14;41
08.01.2014;8,1;10,2;12,4;3,4;1,9;6,5;71;81;88;13;67
09.01.2014;6,8;10;13,1;0;0,8;6,2;68;82,5;97;20;67
10.01.2014;3,8;6,5;9,5;5,5;0,0;2,7;72;83,4;92;12;41
11.01.2014;2,2;4,8;8,9;2,1;0,8;1,6;80;89,3;94;11;44
12.01.2014;2;4;7,4;6,4;0,0;1,1;69;84,6;97;12;46
13.01.2014;3,5;6,3;9,8;0,7;0,0;3,5;75;83,6;91;13;37
14.01.2014;4,8;6,9;9,9;3,6;0,0;3,5;71;83,2;93;12;31
15.01.2014;3,7;4,8;5,7;0,4;1,7;3;78;87;97;16;41
16.01.2014;5,2;7,2;8,6;0,1;1,2;5,3;81;89,3;97;17;44
17.01.2014;7,7;9,2;10,8;1,8;0,0;7;63;72,7;81;13;35
18.01.2014;5,8;7,8;10,6;6,8;0,0;4,7;62;71,3;78;15;41
19.01.2014;5;6,3;9,1;1,8;0,0;3,5;73;81,1;89;12;39
20.01.2014;2;4,2;5,9;0;0,0;2,7;85;90,2;99;8;22
21.01.2014;1,7;3,1;4,8;0;0,0;2,3;88;94,1;100;7;20
22.01.2014;1,2;4,2;6,5;3,1;0,0;0,1;74;85,9;95;9;28
23.01.2014;0,5;2,6;4,6;0,7;2,9;-0,9;84;94,4;99;10;30
24.01.2014;2,8;4,1;5,4;0,1;0,1;3,6;86;92,2;99;8;24
25.01.2014;2,6;4,2;5,7;0,4;6,3;1,6;73;87,2;97;11;44
26.01.2014;2,3;5;6,6;0,8;10,9;2,8;69;85,8;99;18;56
27.01.2014;3,1;4,4;6,2;0,7;0,9;2,5;69;84,9;100;13;48
28.01.2014;2,9;4,8;7,6;5,8;0,0;2,4;58;75,5;88;17;48
29.01.2014;-0,6;2;5,4;6;0,0;-2;62;77,5;92;11;33
30.01.2014;1,2;3,2;6,7;4,4;0,0;0,3;60;71;78;14;41
31.01.2014;0,2;3,7;7,8;7,5;0,0;-1;68;75,2;84;13;43
01.02.2014;4,2;5,9;7,4;0;3,5;4,2;72;82,8;93;15;56
02.02.2014;2,4;5,3;10,2;8,2;0,0;0,4;54;79,4;95;11;30
03.02.2014;0,4;4,1;7,9;7,7;0,0;-1,4;68;82;95;11;43
04.02.2014;4,4;6,1;9,6;4;0,0;3,7;64;75,8;83;14;44
05.02.2014;4,5;6,5;8,5;0,8;0,6;3,7;72;76,9;85;20;50
06.02.2014;6,8;8,5;11,4;3,4;4,3;4,9;58;72,7;90;17;50
07.02.2014;4,5;8,7;13,5;0,7;1,9;3,8;58;76,2;92;24;81
08.02.2014;4,3;7;9;0;4,3;3,7;66;78,6;90;18;56
09.02.2014;4,9;6,8;8,2;0,8;0,0;3,8;55;64,3;74;20;63
10.02.2014;3,6;5,5;9,2;0,3;0,3;2,6;48;73,3;96;13;41
11.02.2014;4,5;6,7;9,8;3;0,6;4,7;47;73,9;94;17;43
12.02.2014;4,1;6,3;9,3;6,4;1,6;3,3;53;74,3;90;16;59
13.02.2014;3,4;5,8;7,6;0;6,6;3,4;73;85,2;97;13;48
14.02.2014;3,3;5,6;8,5;3,8;4,6;2,6;67;82,6;96;19;57
15.02.2014;8,4;10,9;13;2,7;1,4;8,2;54;63,9;81;24;67
16.02.2014;6,1;7,8;10,2;5;0,0;4,6;59;75,9;87;17;52
17.02.2014;4,3;7;10,9;3,8;0,0;3,4;63;77,8;86;11;30
18.02.2014;4,9;6,8;8,6;0;0,2;4,4;65;75,2;85;12;33
19.02.2014;7,2;8,2;10;1,3;1,7;6,5;77;84,1;91;12;33
20.02.2014;6,6;8,9;12,2;3,2;4,2;6,6;62;82,6;96;13;43
21.02.2014;4,5;7,7;9,1;2,8;0,3;3,8;66;80,5;97;14;46
22.02.2014;3,7;5,8;8,4;0,8;0,0;2,7;72;79,1;84;12;43
23.02.2014;2,7;6,8;11,5;7,7;0,0;2,1;59;74,8;87;14;44
24.02.2014;5,4;9,5;15;9,7;0,0;5;41;61,2;78;17;46
25.02.2014;7,6;9,9;12,4;2,8;4,8;6,5;59;66,3;72;16;41
26.02.2014;4,1;8,4;11,6;3;0,0;2,6;60;81,2;97;7;22
27.02.2014;2,9;5,7;10,4;4,7;6,3;1,3;58;86,2;97;13;56
28.02.2014;4;6,8;10;3,4;0,0;3,6;63;78,8;95;12;31
01.03.2014;3,8;6,5;9;4,3;0,5;2,6;65;78,2;90;10;41
02.03.2014;3,4;6,1;10;8,2;0,0;2,9;52;74,1;94;12;37
03.03.2014;4,9;6,8;10,2;2;0,2;3,5;54;71,5;86;15;44
04.03.2014;2,4;6,8;11,7;6,9;0,0;0,9;57;74;88;8;20
05.03.2014;2,9;5,8;9,5;3,3;0,0;0,9;69;88,3;100;6;19
06.03.2014;1,9;7;13,6;10;0,0;0;45;72,9;96;10;26
07.03.2014;4,1;9,1;14,1;7,5;0,0;2,7;48;66,4;84;10;26
08.03.2014;5,6;11,6;17,5;10,4;0,0;3,4;40;67,4;97;12;37
09.03.2014;9,4;14,3;22;11;0,0;6,3;22;41,3;62;17;50
10.03.2014;5,4;12,8;20,6;10,8;0,0;3,3;24;47,7;72;9;30
11.03.2014;5,9;10,1;16,1;9,1;0,0;3,7;51;75,8;92;13;41
12.03.2014;3,5;10,6;18,8;10,6;0,0;1,8;39;66,9;94;6;24
13.03.2014;5,1;11,4;18,6;10,8;0,0;3,4;30;56,7;77;7;19
14.03.2014;4;10,4;16,3;10,4;0,0;2,1;44;66,6;92;7;28
15.03.2014;7,8;9,7;11,9;1,8;1,4;8,4;53;72,8;95;17;46
16.03.2014;8,8;11;14;1,7;0,0;7,3;67;75,4;83;15;39
17.03.2014;8,8;10,6;12,8;0;0,0;8,1;60;71,8;86;11;35
18.03.2014;8,3;9,7;10,5;0;2,3;8,4;68;79,3;94;15;44
19.03.2014;9,2;12,1;17,2;7,2;0,0;7,2;48;70,5;90;17;50
20.03.2014;6,9;14,4;22,2;11,5;0,0;5,2;29;54,9;84;14;46
21.03.2014;6,1;11,3;15,7;0,8;0,8;5;53;67,9;83;16;67
22.03.2014;5,2;7,8;12,3;3,6;1,7;3,7;57;82,1;94;12;44
23.03.2014;4;6,1;10,2;3,9;1,1;3,2;61;77,5;88;12;37
24.03.2014;2,8;5,2;9;4,5;1,8;1,2;61;84,3;96;5;30
25.03.2014;0,8;5,5;11,4;7,1;0,0;-0,7;40;72,3;95;8;30
26.03.2014;0,8;5,7;10,7;7,9;0,6;-0,5;49;72;91;7;33
27.03.2014;3,9;9,7;15,8;8,3;0,0;3,4;42;64,1;89;10;35
28.03.2014;4,2;12,1;19,5;11,4;0,0;2,7;32;56,1;84;9;39
29.03.2014;7,1;13,1;20,8;11,6;0,0;4,9;31;55,2;77;11;30
