Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2016;4,1;6;7,7;0,9;0;3,9;79;89;97;10;41
02.01.2016;4,5;5,1;6,3;0;2,5;5,5;79;87,2;95;20;50
03.01.2016;4,9;6,2;7,9;0,2;10,1;5,8;78;90,4;100;16;54
04.01.2016;3;5,4;7,6;0;1,2;4,4;92;96;100;13;48
05.01.2016;5,8;7,1;8,6;1,1;0,5;6,3;79;88;96;11;30
06.01.2016;5,6;6,6;8,1;0;4,3;5,7;85;94,7;100;9;22
07.01.2016;4,9;6,1;7,8;0,2;6,9;6;76;89,9;98;19;63
08.01.2016;2,7;5,3;8,6;7,2;0;2,8;67;79;89;14;43
09.01.2016;2,7;4,9;7,7;5,6;2,6;3,4;77;85,2;92;16;39
10.01.2016;5,7;7,3;10;5,2;0,2;5,8;61;81,8;92;15;43
11.01.2016;3,3;5,5;7,2;0;5,1;3,2;88;92,2;97;13;39
12.01.2016;5,4;6,5;8,2;1,5;3,5;6;70;82,8;92;18;52
13.01.2016;2,9;5,2;6,7;0,5;2,6;3,3;83;89,8;95;16;59
14.01.2016;1,6;3,2;4,4;0;5,5;2,1;84;88,8;96;16;54
15.01.2016;1,7;2,8;3,8;0;1,5;2,8;79;90,7;96;14;59
16.01.2016;0,7;2;4,2;0,7;0,8;1,7;81;89,2;97;14;50
17.01.2016;-2,3;0,2;1,9;3,4;0;-2,9;62;82,5;95;9;33
18.01.2016;-4,2;-2;1,2;7,4;0;-4,5;59;78,7;94;10;33
19.01.2016;-5,4;-3,1;-1;7,8;0;-5,2;72;78,9;83;11;28
20.01.2016;-2,3;0,4;3,4;1;0;-1,4;69;79,8;89;8;20
21.01.2016;-0,6;1,6;4,5;3,3;0;-1;70;83,7;92;8;26
22.01.2016;-2,1;0,2;2,5;5,7;3,7;-1,9;64;80,5;99;19;48
23.01.2016;1,5;6;7,7;0;0;2,2;85;95,5;100;9;30
24.01.2016;4,5;6,4;8,6;0;1,7;5;86;93,5;100;12;30
25.01.2016;8,3;10,6;14,2;6,6;0;8,5;64;83,1;100;12;37
26.01.2016;9,6;10,8;12,3;0;0,6;10,7;65;80,9;96;15;48
27.01.2016;9,9;11,3;12,9;0;6,3;11,6;71;79,3;92;21;52
28.01.2016;4;7,3;10;7,5;0;4,6;57;79,7;97;13;48
29.01.2016;3,7;7,7;10;0;0,6;4,1;75;78,5;85;20;63
30.01.2016;3,7;7,4;10;0;12,5;4,8;77;86,1;94;22;67
31.01.2016;4,2;6,5;11,8;0;6,2;5,4;80;88,5;100;15;43
01.02.2016;10,6;11,5;12,1;0;0,5;11,9;74;87,9;100;23;65
02.02.2016;5,5;8,8;11,4;0;13,2;6,3;79;89,7;97;19;56
03.02.2016;3,5;5,2;7,4;3,4;0,2;4,4;59;82,1;88;15;59
