Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2018;4,8;7,1;8,9;1,3;9,6;4,1;69;83,4;98;19;67
18.04.2018;10,9;18,4;26,9;13;0;4,8;28;57,6;86;7;22
19.04.2018;13,8;21,4;29,6;13,4;0;7;23;43,9;66;11;39
20.04.2018;14,2;21,2;27,9;12,3;0;7,5;37;49,2;73;8;30
22.04.2018;14,2;19,5;26,6;10,8;8,6;8,6;45;68,2;87;9;39
06.05.2018;8,7;18,3;26,8;14,7;0;2,1;29;52;80;9;39
07.05.2018;10,5;19,3;27,2;14,6;0;3,8;32;53,5;86;9;39
08.05.2018;13,3;21;28,1;14,6;0;6,2;28;46,2;69;8;41
09.05.2018;14,3;21,4;28,8;10,2;0;7,2;32;52,9;71;8;35
14.05.2018;12,6;19;26,9;10,5;0;8,9;38;72;100;13;46
20.05.2018;8,5;17,2;25,2;12,5;0;5,4;40;64,1;93;9;46
21.05.2018;11,9;19,7;26,7;12,6;2;8,8;33;56,9;95;9;41
23.05.2018;14,7;19,2;25;4,5;4,5;13,2;52;73;100;10;44
25.05.2018;15,4;20,6;25,7;9,8;0;13,4;54;75,5;97;8;26
26.05.2018;15,8;22,9;29,7;12,5;0;;40;63,5;95;8;-
27.05.2018;17;21,9;28,3;6,8;0,1;;47;67;85;8;31
28.05.2018;16,1;23,9;30,4;12,6;0;;44;65;97;9;31
29.05.2018;17,7;22,7;30;8,2;7,3;;48;74,6;98;8;-
30.05.2018;17;21,9;28,8;11,8;4;;46;79,5;100;6;33
31.05.2018;18,1;22,4;27,5;11,2;8,1;15,8;54;73,8;98;8;28
04.06.2018;15,4;21,4;27;12,9;0;12,4;53;71,6;96;10;35
06.06.2018;13,8;22,2;29,1;15,4;0;10,8;40;64,4;97;7;26
07.06.2018;17,3;21,7;28,4;10,2;36,1;14,8;51;76;100;8;43
09.06.2018;17,7;22,2;27,4;11,8;24,6;16,9;56;76,4;98;8;33
10.06.2018;17,7;21,1;25,5;6,4;0;16,5;59;80,7;100;7;26
20.06.2018;18,5;22,7;28,2;10,7;0;15,4;44;67,3;88;8;28
27.06.2018;11,8;20,1;27,1;15,2;0;;35;58,7;93;11;43
28.06.2018;14,5;22,6;28,3;15,3;0;;35;51,2;77;12;43
29.06.2018;16,7;23,6;29,7;15,8;0;;33;51;73;12;37
30.06.2018;16,7;23,2;29,3;15,6;0;;28;48,7;83;13;39
01.07.2018;15,3;22,2;28,2;15,9;0;10,7;25;35,4;51;14;46
02.07.2018;13,7;21,8;28,3;15,9;0;9,2;28;38,9;57;10;41
03.07.2018;14,7;23,4;30,3;15,6;0;10,5;24;37;58;7;24
04.07.2018;17,8;23,8;28,3;5,9;0;14,6;42;57,5;79;8;31
05.07.2018;18,6;22,7;27,9;8,1;0;16,8;41;63;84;9;30
06.07.2018;16;20,8;26,9;6,2;0;14,7;45;63,7;86;9;30
07.07.2018;16,8;21,8;27,6;13,4;0;14,3;35;47,2;64;11;43
08.07.2018;13,8;20,5;26,6;15,4;0;11,8;39;56;80;11;33
12.07.2018;15,8;20,7;27,3;9,9;0;13,9;41;70,5;94;8;30
13.07.2018;15,7;21,9;27,8;15,1;0;13,7;36;58,2;89;8;26
14.07.2018;16,3;22,2;28,1;14,9;0;14;35;58;85;9;26
15.07.2018;15,2;22,8;29,2;15,5;0;11,8;30;49,1;79;9;31
16.07.2018;15,6;23,9;30,6;15,4;0;12,1;26;44,1;69;7;28
17.07.2018;18;23,4;30,1;11,1;0;15,7;36;52,2;67;11;35
18.07.2018;14,7;21,6;28,1;14;0;11,3;34;53,2;82;7;24
19.07.2018;16,5;23,1;29,2;10;0;12,8;32;49,2;70;7;28
20.07.2018;16,3;23,4;29,9;11,6;0;13,3;32;49,1;72;8;28
21.07.2018;18,3;23,7;30;10,5;0,9;15,9;36;55,7;78;8;31
22.07.2018;16,9;22,8;28,5;10;0;15,8;40;58,4;82;9;30
23.07.2018;17,2;23,8;30,6;11,8;0;14,3;42;60,5;85;5;22
24.07.2018;19,7;27;34;14,5;0;16,3;30;50,4;76;7;26
26.07.2018;20,4;27,5;36,4;8,6;0,1;17,6;31;55,1;83;7;59
27.07.2018;21,5;29,2;36,4;14,6;0;17,7;24;38,8;58;9;31
28.07.2018;19,9;24,7;30,1;7,1;1;18,4;45;55,3;93;13;44
29.07.2018;19,2;24,6;31;6,2;0;17,9;31;49,1;81;11;37
30.07.2018;20,9;27,2;34,2;12,4;0;18;30;46,3;65;8;31
31.07.2018;20,6;26;31,8;12,1;0;18,1;35;56,8;83;12;41
01.08.2018;19,4;24,6;29,6;8,8;0;17,9;42;52,9;68;9;33
02.08.2018;18,6;26,4;33,4;14,3;0;15,5;33;49,7;72;7;30
03.08.2018;20,8;28,4;35;13,9;0;18,2;30;47,7;69;8;30
04.08.2018;21,6;27;32,8;10,6;0;20,7;33;50,2;70;12;37
05.08.2018;19,3;23,2;28,4;12,7;0;15,6;37;59;85;10;30
06.08.2018;17,1;25,5;33,7;14,4;0;13,7;26;45,7;69;7;26
07.08.2018;20,2;28,3;36,4;13,6;5,1;16,6;23;39,4;60;8;28
08.08.2018;18,6;23,2;26,6;5,2;0;15,9;46;62,7;98;13;46
09.08.2018;16,1;22,3;29,8;2,5;0,5;14,8;46;62,9;85;17;85
12.08.2018;13;20,7;28,6;12,5;1,4;10,2;30;48,6;71;10;28
14.08.2018;16,6;19,9;25,6;3,2;0,3;15,9;50;74,5;96;13;41
16.08.2018;15,3;21,5;28,2;10,7;3,4;12,9;46;68,3;96;8;22
18.08.2018;13;19;25,2;12,9;0;10,5;39;66,7;92;8;31
19.08.2018;15,2;20,9;26,5;12,3;0;12,7;47;67;90;10;35
21.08.2018;18,7;22,6;27,5;6;0;17;45;65,8;85;6;19
22.08.2018;18,2;23,5;29,4;12,5;0;15,3;44;62,5;80;8;37
23.08.2018;16,7;21,8;27,3;12,2;0,7;13,8;49;70,8;95;11;41
29.08.2018;13,6;18,8;25,9;5,6;17;10,7;46;75;100;9;41
04.09.2018;15,7;19,3;25,9;7,3;8,6;13,5;58;88,1;100;5;37
05.09.2018;16,6;21,2;27,6;6,3;9,6;14,5;49;77,3;100;5;28
11.09.2018;15,4;20,2;26,5;10,7;0;12,3;42;64,2;87;14;48
17.09.2018;11,6;17,7;25,2;11,5;0;8,4;38;63,1;86;8;22
18.09.2018;16,4;22,5;31,3;11,8;0;12,5;31;53,2;72;14;41
19.09.2018;15,5;21,1;27,6;9,4;0;12,5;46;65,6;86;12;44
20.09.2018;14,9;20,5;26;10;0;12;44;63;87;12;44
12.10.2018;14,8;19,6;26,2;9,1;0;11,2;47;68,1;84;12;43
13.10.2018;16,5;20,7;26,7;10,2;0;13,1;42;61,2;78;14;37
14.10.2018;15,4;19,7;25,5;9,6;0;11,5;44;58,8;71;15;41
