Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2015;-0,2;2,3;5,9;5,2;4,3;-1,1;73;90,1;100;11;37
02.01.2015;3,2;5,7;8,9;2,4;1,2;3;67;80,7;98;15;52
03.01.2015;1,4;3,2;4,8;0;5,6;1,2;80;90,8;100;10;41
04.01.2015;1,8;3,5;6,6;6,4;0,0;1,4;78;91,2;99;11;33
05.01.2015;1,3;3,1;4,9;4;0,0;0;75;86,4;100;9;26
06.01.2015;0,4;2,8;5,2;3,3;2,2;-0,6;61;80,3;98;12;33
07.01.2015;2,3;4,4;7,2;5,5;5,1;2;74;90,1;100;12;33
08.01.2015;2,8;5,7;9,1;0;20,4;3;83;96,4;100;14;63
09.01.2015;6,2;9,2;14;0;7,7;5,6;74;88;100;22;69
10.01.2015;4,6;11;14,3;0;3,0;4,3;62;79,2;91;24;78
11.01.2015;3,3;5,1;6,9;0,5;0,2;3,2;68;75,5;86;19;61
12.01.2015;6,7;8,2;10,5;0;0,0;6,9;73;78,3;85;24;59
13.01.2015;7,8;9,9;12,4;0,1;5,4;6,8;62;77;94;20;57
14.01.2015;2,7;4,8;8,3;0,1;3,6;2,5;73;84,2;95;17;67
15.01.2015;4;8,4;11,2;0;3,1;4,2;70;80,2;92;21;65
16.01.2015;4,8;6,8;8,2;1;0,0;4,7;72;76,8;85;11;41
17.01.2015;1,6;3,4;5,9;5,6;0,0;1;62;84,5;99;10;26
18.01.2015;0,2;2,9;5,4;0,6;0,0;-0,6;66;75,9;85;14;35
19.01.2015;-0,7;0,9;2,5;0,4;0,0;-1,6;81;87,1;92;7;28
20.01.2015;1;1,7;2,5;0,1;0,0;1,4;69;81,3;93;5;15
21.01.2015;-0,7;1,8;4;3,4;0,0;-1,9;59;72,2;82;8;24
22.01.2015;-0,2;0,9;1,6;0;0,0;-0,4;76;82,2;87;12;35
23.01.2015;-0,8;0,2;1,2;0;0,0;-1,1;83;87,3;91;9;30
24.01.2015;-0,6;1;3,2;0,5;8,5;-1,4;86;94,2;100;10;33
25.01.2015;-0,9;1,8;3,4;0;4,4;-3,5;92;98;100;7;22
26.01.2015;2,4;4;6,6;0;7,2;2,6;91;98,2;100;10;33
27.01.2015;2,5;4,1;5,8;0,8;1,2;2;89;92,5;96;12;33
28.01.2015;2,2;4,8;7,2;0;3,2;1,9;75;87,1;95;17;87
29.01.2015;2,1;3,5;5,6;1,4;4,4;1,8;71;81,6;93;18;50
