x;y;Latitude;Longitude;Street
28.03.2003;39,26;;;
29.03.2003;39,26;;;
30.03.2003;39,24;;;
31.03.2003;39,21;;;
01.04.2003;39,22;;;
02.04.2003;39,28;;;
03.04.2003;39,21;;;
04.04.2003;39,17;;;
05.04.2003;39,19;;;
06.04.2003;39,18;;;
07.04.2003;39,17;;;
08.04.2003;39,17;;;
09.04.2003;39,19;;;
10.04.2003;39,22;;;
11.04.2003;39,19;;;
12.04.2003;39,16;;;
13.04.2003;39,13;;;
14.04.2003;39,14;;;
15.04.2003;39,13;;;
16.04.2003;39,11;;;
17.04.2003;39,1;;;
18.04.2003;39,1;;;
19.04.2003;39,12;;;
20.04.2003;39,14;;;
21.04.2003;39,11;;;
22.04.2003;39,09;;;
23.04.2003;39,09;;;
24.04.2003;39,08;;;
25.04.2003;39,08;;;
26.04.2003;39,09;;;
27.04.2003;39,09;;;
28.04.2003;39,09;;;
29.04.2003;39,08;;;
30.04.2003;39,07;;;
01.05.2003;39,06;;;
02.05.2003;39,07;;;
03.05.2003;39,06;;;
04.05.2003;39,05;;;
05.05.2003;39,07;;;
06.05.2003;39,04;;;
07.05.2003;39,02;;;
08.05.2003;39,04;;;
09.05.2003;39,04;;;
10.05.2003;39,02;;;
11.05.2003;39,01;;;
12.05.2003;39,01;;;
13.05.2003;39,01;;;
14.05.2003;39;;;
15.05.2003;38,99;;;
16.05.2003;39;;;
17.05.2003;39,01;;;
18.05.2003;39;;;
19.05.2003;39;;;
20.05.2003;39;;;
21.05.2003;38,99;;;
22.05.2003;38,99;;;
23.05.2003;39,02;;;
24.05.2003;39,04;;;
25.05.2003;39,03;;;
26.05.2003;38,99;;;
27.05.2003;38,99;;;
28.05.2003;38,99;;;
29.05.2003;38,99;;;
30.05.2003;38,98;;;
31.05.2003;38,98;;;
01.06.2003;38,97;;;
02.06.2003;38,97;;;
03.06.2003;38,95;;;
04.06.2003;38,95;;;
05.06.2003;38,93;;;
06.06.2003;38,93;;;
07.06.2003;38,93;;;
08.06.2003;38,93;;;
09.06.2003;38,91;;;
10.06.2003;38,92;;;
11.06.2003;38,91;;;
12.06.2003;38,91;;;
13.06.2003;38,89;;;
14.06.2003;38,89;;;
15.06.2003;38,88;;;
16.06.2003;38,88;;;
17.06.2003;38,88;;;
18.06.2003;38,86;;;
19.06.2003;38,86;;;
20.06.2003;38,85;;;
21.06.2003;38,85;;;
22.06.2003;38,85;;;
23.06.2003;38,86;;;
24.06.2003;38,82;;;
25.06.2003;38,82;;;
26.06.2003;38,81;;;
27.06.2003;38,8;;;
28.06.2003;38,8;;;
29.06.2003;38,8;;;
30.06.2003;38,79;;;
01.07.2003;38,79;;;
02.07.2003;38,78;;;
03.07.2003;38,77;;;
04.07.2003;38,76;;;
05.07.2003;38,76;;;
06.07.2003;38,75;;;
07.07.2003;38,74;;;
08.07.2003;38,74;;;
09.07.2003;38,74;;;
10.07.2003;38,73;;;
11.07.2003;38,72;;;
