x;y;Latitude;Longitude;Street;
18.10.2002;40,28;;;;
19.10.2002;40,3;;;;
20.10.2002;40,31;;;;
21.10.2002;40,34;;;;
22.10.2002;40,34;;;;
23.10.2002;40,32;;;;
24.10.2002;40,31;;;;
25.10.2002;40,33;;;;
26.10.2002;40,32;;;;
27.10.2002;40,35;;;;
28.10.2002;40,36;;;;
29.10.2002;40,4;;;;
30.10.2002;40,39;;;;
31.10.2002;40,38;;;;
01.11.2002;40,37;;;;
02.11.2002;40,41;;;;
03.11.2002;40,46;;;;
04.11.2002;40,48;;;;
05.11.2002;40,49;;;;
06.11.2002;40,5;;;;
07.11.2002;40,52;;;;
08.11.2002;40,53;;;;
09.11.2002;40,56;;;;
10.11.2002;40,57;;;;
11.11.2002;40,6;;;;
12.11.2002;40,62;;;;
13.11.2002;40,65;;;;
14.11.2002;40,65;;;;
15.11.2002;40,64;;;;
16.11.2002;40,64;;;;
17.11.2002;40,62;;;;
18.11.2002;40,64;;;;
19.11.2002;40,64;;;;
20.11.2002;40,65;;;;
21.11.2002;40,65;;;;
22.11.2002;40,64;;;;
23.11.2002;40,62;;;;
24.11.2002;40,61;;;;
25.11.2002;40,62;;;;
26.11.2002;40,59;;;;
27.11.2002;40,59;;;;
28.11.2002;40,59;;;;
29.11.2002;40,57;;;;
30.11.2002;40,56;;;;
01.12.2002;40,58;;;;
02.12.2002;40,6;;;;
03.12.2002;40,56;;;;
04.12.2002;40,55;;;;
05.12.2002;40,53;;;;
06.12.2002;40,52;;;;
07.12.2002;40,52;;;;
08.12.2002;40,51;;;;
09.12.2002;40,5;;;;
10.12.2002;40,5;;;;
11.12.2002;40,5;;;;
12.12.2002;40,5;;;;
13.12.2002;40,49;;;;
14.12.2002;40,49;;;;
15.12.2002;40,5;;;;
16.12.2002;40,49;;;;
17.12.2002;40,49;;;;
18.12.2002;40,47;;;;
19.12.2002;40,47;;;;
20.12.2002;40,49;;;;
21.12.2002;40,47;;;;
22.12.2002;40,51;;;;
23.12.2002;40,52;;;;
24.12.2002;40,53;;;;
25.12.2002;40,54;;;;
26.12.2002;40,56;;;;
27.12.2002;40,59;;;;
28.12.2002;40,59;;;;
29.12.2002;40,6;;;;
30.12.2002;40,65;;;;
31.12.2002;40,74;;;;
01.01.2003;40,85;;;;
02.01.2003;40,94;;;;
03.01.2003;40,97;;;;
04.01.2003;41;;;;
05.01.2003;41,03;;;;
06.01.2003;41,04;;;;
07.01.2003;41,04;;;;
08.01.2003;41,05;;;;
09.01.2003;41,03;;;;
10.01.2003;41,02;;;;
11.01.2003;41;;;;
12.01.2003;40,98;;;;
13.01.2003;40,99;;;;
14.01.2003;40,98;;;;
15.01.2003;40,98;;;;
16.01.2003;40,97;;;;
17.01.2003;40,98;;;;
18.01.2003;40,96;;;;
19.01.2003;40,99;;;;
20.01.2003;40,96;;;;
21.01.2003;40,98;;;;
22.01.2003;40,95;;;;
23.01.2003;40,9;;;;
24.01.2003;40,87;;;;
25.01.2003;40,89;;;;
26.01.2003;40,89;;;;
27.01.2003;40,91;;;;
28.01.2003;40,95;;;;
29.01.2003;40,99;;;;
30.01.2003;41;;;;
31.01.2003;40,97;;;;
01.02.2003;40,99;;;;
02.02.2003;41,02;;;;
03.02.2003;41,05;;;;
04.02.2003;41,04;;;;
05.02.2003;41,01;;;;
06.02.2003;40,98;;;;
07.02.2003;40,99;;;;
08.02.2003;40,98;;;;
09.02.2003;40,99;;;;
10.02.2003;40,97;;;;
11.02.2003;40,96;;;;
12.02.2003;40,95;;;;
13.02.2003;40,95;;;;
14.02.2003;40,94;;;;
15.02.2003;40,92;;;;
16.02.2003;40,91;;;;
17.02.2003;40,91;;;;
18.02.2003;40,92;;;;
19.02.2003;40,92;;;;
20.02.2003;40,91;;;;
21.02.2003;40,88;;;;
22.02.2003;40,87;;;;
23.02.2003;40,85;;;;
24.02.2003;40,85;;;;
25.02.2003;40,85;;;;
26.02.2003;40,85;;;;
27.02.2003;40,83;;;;
28.02.2003;40,81;;;;
01.03.2003;40,81;;;;
02.03.2003;40,84;;;;
03.03.2003;40,8;;;;
04.03.2003;40,81;;;;
05.03.2003;40,81;;;;
06.03.2003;40,8;;;;
07.03.2003;40,79;;;;
08.03.2003;40,78;;;;
09.03.2003;40,78;;;;
10.03.2003;40,77;;;;
11.03.2003;40,79;;;;
12.03.2003;40,77;;;;
13.03.2003;40,75;;;;
14.03.2003;40,76;;;;
15.03.2003;40,74;;;;
16.03.2003;40,74;;;;
17.03.2003;40,75;;;;
18.03.2003;40,74;;;;
19.03.2003;40,74;;;;
20.03.2003;40,73;;;;
21.03.2003;40,73;;;;
22.03.2003;40,72;;;;
23.03.2003;40,72;;;;
24.03.2003;40,72;;;;
25.03.2003;40,71;;;;
26.03.2003;40,71;;;;
27.03.2003;40,71;;;;
28.03.2003;40,71;;;;
29.03.2003;40,7;;;;
30.03.2003;40,69;;;;
31.03.2003;40,66;;;;
01.04.2003;40,7;;;;
02.04.2003;40,7;;;;
03.04.2003;40,66;;;;
04.04.2003;40,66;;;;
05.04.2003;40,66;;;;
06.04.2003;40,65;;;;
07.04.2003;40,65;;;;
08.04.2003;40,65;;;;
09.04.2003;40,66;;;;
10.04.2003;40,66;;;;
11.04.2003;40,63;;;;
12.04.2003;40,62;;;;
13.04.2003;40,61;;;;
14.04.2003;40,61;;;;
15.04.2003;40,6;;;;
16.04.2003;40,59;;;;
17.04.2003;40,57;;;;
18.04.2003;40,58;;;;
19.04.2003;40,6;;;;
20.04.2003;40,59;;;;
21.04.2003;40,58;;;;
22.04.2003;40,56;;;;
23.04.2003;40,56;;;;
24.04.2003;40,56;;;;
25.04.2003;40,56;;;;
26.04.2003;40,57;;;;
27.04.2003;40,56;;;;
28.04.2003;40,58;;;;
29.04.2003;40,54;;;;
30.04.2003;40,56;;;;
01.05.2003;40,54;;;;
02.05.2003;40,57;;;;
03.05.2003;40,55;;;;
04.05.2003;40,57;;;;
05.05.2003;40,56;;;;
06.05.2003;40,53;;;;
07.05.2003;40,53;;;;
08.05.2003;40,53;;;;
09.05.2003;40,52;;;;
10.05.2003;40,52;;;;
11.05.2003;40,52;;;;
12.05.2003;40,51;;;;
13.05.2003;40,5;;;;
14.05.2003;40,5;;;;
15.05.2003;40,49;;;;
16.05.2003;40,5;;;;
17.05.2003;40,49;;;;
18.05.2003;40,48;;;;
19.05.2003;40,5;;;;
20.05.2003;40,48;;;;
21.05.2003;40,46;;;;
22.05.2003;40,46;;;;
23.05.2003;40,48;;;;
24.05.2003;40,48;;;;
25.05.2003;40,45;;;;
26.05.2003;40,44;;;;
27.05.2003;40,44;;;;
28.05.2003;40,44;;;;
29.05.2003;40,44;;;;
30.05.2003;40,43;;;;
31.05.2003;40,43;;;;
01.06.2003;40,43;;;;
02.06.2003;40,42;;;;
03.06.2003;40,43;;;;
04.06.2003;40,44;;;;
05.06.2003;40,41;;;;
06.06.2003;40,41;;;;
07.06.2003;40,41;;;;
08.06.2003;40,43;;;;
09.06.2003;40,41;;;;
10.06.2003;40,43;;;;
11.06.2003;40,41;;;;
12.06.2003;40,41;;;;
13.06.2003;40,4;;;;
14.06.2003;40,41;;;;
15.06.2003;40,4;;;;
16.06.2003;40,39;;;;
17.06.2003;40,39;;;;
18.06.2003;40,39;;;;
19.06.2003;40,39;;;;
20.06.2003;40,39;;;;
21.06.2003;40,39;;;;
22.06.2003;40,4;;;;
23.06.2003;40,4;;;;
24.06.2003;40,37;;;;
25.06.2003;40,37;;;;
26.06.2003;40,38;;;;
27.06.2003;40,37;;;;
28.06.2003;40,36;;;;
29.06.2003;40,36;;;;
30.06.2003;40,37;;;;
01.07.2003;40,38;;;;
02.07.2003;40,37;;;;
03.07.2003;40,37;;;;
04.07.2003;40,36;;;;
05.07.2003;40,36;;;;
06.07.2003;40,35;;;;
07.07.2003;40,34;;;;
08.07.2003;40,34;;;;
09.07.2003;40,34;;;;
10.07.2003;40,33;;;;
11.07.2003;40,33;;;;
12.07.2003;40,32;;;;
13.07.2003;40,31;;;;
14.07.2003;40,32;;;;
15.07.2003;40,31;;;;
16.07.2003;40,31;;;;
17.07.2003;40,29;;;;
18.07.2003;40,28;;;;
19.07.2003;40,27;;;;
20.07.2003;40,28;;;;
21.07.2003;40,27;;;;
22.07.2003;40,26;;;;
23.07.2003;40,26;;;;
24.07.2003;40,26;;;;
25.07.2003;40,27;;;;
26.07.2003;40,26;;;;
27.07.2003;40,27;;;;
28.07.2003;40,26;;;;
29.07.2003;40,26;;;;
30.07.2003;40,26;;;;
31.07.2003;40,28;;;;
01.08.2003;40,28;;;;
02.08.2003;40,27;;;;
03.08.2003;40,25;;;;
04.08.2003;40,24;;;;
