FID,saison,baumart,link,last_update,_geometry
stadtbaum.7de8c3b4-4b33-4ae1-b60c-afe61cb5d805,2021/2022,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351099 5670861)
stadtbaum.d40263ac-6356-46ec-8e2f-680bf967e218,2021/2022,Ahornblättrige Platane,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351862 5668717)
stadtbaum.63c5d5cb-d816-4224-99ac-5067164f4198,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352158 5670497)
stadtbaum.2b692bf9-4710-47df-a60b-b8b1354eb409,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352027 5670985)
stadtbaum.3de49ad4-0daf-42f9-a710-35710a1913fe,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352029 5671035)
stadtbaum.4011a115-a177-4969-951a-e5decadff518,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352036 5670760)
stadtbaum.e5ce913a-48f3-4906-93ef-f50e76d96084,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352036 5670783)
stadtbaum.3a48ec43-882c-4f7b-8ddc-5198d0a377e5,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352037 5670808)
stadtbaum.2edae0de-c38a-4867-b948-7d28d8245279,2021/2022,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352038 5670858)
stadtbaum.09cb81d2-e015-4d39-be13-bf49346f97be,2021/2022,Spitzahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351099 5670861)
stadtbaum.aed8b292-0b0d-4aad-86d6-bfa4ed17278f,2021/2022,Japanische Eberesche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350792 5670185)
stadtbaum.e7e55a34-72cd-421b-95f0-0c70f2ed5c5e,2021/2022,Japanische Eberesche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350496 5670203)
stadtbaum.8fc2c282-4097-4479-a51e-3761ec1c1ec4,2021/2022,Japanische Eberesche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350433 5670199)
stadtbaum.2cdcadee-ebe8-4ac0-b833-8238c9fddbea,2021/2022,Ulme,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351039 5670864)
stadtbaum.d45d066a-7975-46e0-8c36-d29f4441984f,2021/2022,Ulme,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351084 5670864)
stadtbaum.4c04342b-c9af-4016-bc67-4fa4b0636a27,2021/2022,Ulme,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351075 5670863)
stadtbaum.e35334df-d6cf-41cc-bf98-35e9c30c30d5,2021/2022,Ulme,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (351035 5670865)
stadtbaum.e3b3e3e8-a41e-44e7-8bcd-6e0cae5cb265,2021/2022,Ulme,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352965 5667110)
stadtbaum.f43f53e5-eebc-49d2-9a9d-f26297f791d9,2021/2022,Ungarische Eiche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353259 5667883)
stadtbaum.418b0196-a46a-4d9b-a840-48bfca86208c,2021/2022,Ungarische Eiche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353258 5667857)
stadtbaum.a2dac473-d6f6-40d8-ae3f-18e59c263863,2021/2022,Ungarische Eiche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353260 5667904)
stadtbaum.bc0a13c3-5d56-4404-ab13-425c8b2a7723,2021/2022,Purpur-Erle,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353908 5666788)
stadtbaum.1037bb4d-7b0a-45a2-858e-300f6efef64f,2021/2022,Hainbuche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353311 5666163)
stadtbaum.d3210794-1375-4ce7-9c44-6c69b3eec361,2021/2022,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353632 5666255)
stadtbaum.7b1d5cc9-b74b-42d3-aec4-02a791b8d1d0,2021/2022,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353646 5666258)
stadtbaum.73457b9d-54f6-4a9e-9e83-a19d7486c084,2021/2022,Kugel-Trompetenbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (353192 5666289)
stadtbaum.123c0bd5-250e-4313-998c-e8e972039303,2021/2022,Mehlbeere,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (352991 5668380)
