Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2012;;;;;;;;;;;
02.01.2012;;;;;;;;;;;
03.01.2012;;;;;;;;;;;
04.01.2012;;;;;;;;;;;
05.01.2012;;;;;;;;;;;
06.01.2012;;;;;;;;;;;
07.01.2012;;;;;;;;;;;
08.01.2012;;;;;;;;;;;
09.01.2012;;;;;;;;;;;
10.01.2012;;;;;;;;;;;
11.01.2012;;;;;;;;;;;
12.01.2012;;;;;;;;;;;
13.01.2012;;;;;;;;;;;
14.01.2012;;;;;;;;;;;
15.01.2012;;;;;;;;;;;
16.01.2012;;;;;;;;;;;
17.01.2012;;;;;;;;;;;
18.01.2012;;;;;;;;;;;
19.01.2012;;;;;;;;;;;
20.01.2012;;;;;;;;;;;
21.01.2012;;;;;;;;;;;
22.01.2012;;;;;;;;;;;
23.01.2012;;;;;;;;;;;
24.01.2012;;;;;;;;;;;
25.01.2012;;;;;;;;;;;
26.01.2012;;;;;;;;;;;
27.01.2012;;;;;;;;;;;
28.01.2012;;;;;;;;;;;
29.01.2012;;;;;;;;;;;
30.01.2012;;;;;;;;;;;
31.01.2012;;;;;;;;;;;
01.02.2012;;;;;;;;;;;
02.02.2012;;;;;;;;;;;
03.02.2012;;;;;;;;;;;
04.02.2012;;;;;;;;;;;
05.02.2012;;;;;;;;;;;
06.02.2012;;;;;;;;;;;
07.02.2012;;;;;;;;;;;
08.02.2012;;;;;;;;;;;
09.02.2012;;;;;;;;;;;
10.02.2012;;;;;;;;;;;
11.02.2012;;;;;;;;;;;
12.02.2012;;;;;;;;;;;
13.02.2012;;;;;;;;;;;
14.02.2012;;;;;;;;;;;
15.02.2012;;;;;;;;;;;
16.02.2012;;;;;;;;;;;
17.02.2012;;;;;;;;;;;
18.02.2012;;;;;;;;;;;
19.02.2012;;;;;;;;;;;
20.02.2012;;;;;;;;;;;
21.02.2012;;;;;;;;;;;
22.02.2012;;;;;;;;;;;
23.02.2012;;;;;;;;;;;
24.02.2012;;;;;;;;;;;
25.02.2012;;;;;;;;;;;
26.02.2012;;;;;;;;;;;
27.02.2012;;;;;;;;;;;
28.02.2012;;;;;;;;;;;
29.02.2012;;;;;;;;;;;
01.03.2012;;;;;;;;;;;
02.03.2012;;;;;;;;;;;
03.03.2012;;;;;;;;;;;
04.03.2012;;;;;;;;;;;
05.03.2012;;;;;;;;;;;
06.03.2012;;;;;;;;;;;
07.03.2012;;;;;;;;;;;
08.03.2012;;;;;;;;;;;
09.03.2012;;;;;;;;;;;
10.03.2012;;;;;;;;;;;
11.03.2012;;;;;;;;;;;
12.03.2012;;;;;;;;;;;
13.03.2012;;;;;;;;;;;
14.03.2012;;;;;;;;;;;
15.03.2012;;;;;;;;;;;
16.03.2012;;;;;;;;;;;
17.03.2012;;;;;;;;;;;
18.03.2012;;;;;;;;;;;
19.03.2012;;;;;;;;;;;
20.03.2012;;;;;;;;;;;
21.03.2012;;;;;;;;;;;
22.03.2012;;;;;;;;;;;
23.03.2012;;;;;;;;;;;
24.03.2012;;;;;;;;;;;
25.03.2012;;;;;;;;;;;
26.03.2012;;;;;;;;;;;
27.03.2012;;;;;;;;;;;
28.03.2012;;;;;;;;;;;
29.03.2012;;;;;;;;;;;
30.03.2012;;;;;;;;;;;
31.03.2012;;;;;;;;;;;
01.04.2012;-1,8;5,2;10,7;10,4;0,0;-3,5;44;65,5;96;9;28
02.04.2012;1,2;6,4;12,2;2,6;0,0;-0,6;58;75,8;95;4;17
03.04.2012;3,3;10;16,8;6,7;0,5;1,7;37;69,2;99;5;22
04.04.2012;6,2;9,2;11,6;1,4;0,0;3,1;69;81,2;94;7;28
05.04.2012;5,8;6,8;7,8;0;0,0;5,8;69;77,4;86;12;35
06.04.2012;5,2;7,4;11;5,2;2,4;3,8;38;61,2;83;9;28
07.04.2012;2,6;5,4;8,4;1,8;0,1;0;40;65,7;95;11;39
08.04.2012;1,1;5,9;10,1;9,6;9,4;-0,9;37;47,5;65;8;26
09.04.2012;5,2;7,9;10,7;0;11,3;5;56;91,2;99;11;37
10.04.2012;7,6;10,6;14,2;0,1;3,7;7;61;80,8;99;11;46
11.04.2012;5,9;9,6;14,1;8,4;0,1;3,7;41;70,8;99;8;30
12.04.2012;4,5;8,1;12;3,8;0,4;0;58;79,9;95;5;30
13.04.2012;3,6;7,2;12,2;6,2;0,0;-0,9;51;80,3;97;5;22
14.04.2012;3,9;8,2;13,7;5,4;3,8;-0,2;52;77,2;94;7;33
15.04.2012;4,2;7;9,1;0,4;0,0;3,2;60;75,5;89;14;41
16.04.2012;0,2;5,8;10,3;8,5;0,0;-5,8;39;60,7;81;12;35
17.04.2012;-1,3;6;12,2;9,7;1,3;-7,3;31;65,5;98;12;48
18.04.2012;3,9;8,7;12,3;5,1;2,0;1,2;55;70,8;90;14;48
19.04.2012;5,1;10,1;14,9;5,4;0,3;2,1;48;67,2;90;12;41
20.04.2012;3,6;9,4;15;6,7;1,2;1,1;42;71;96;8;33
21.04.2012;5,4;8,4;11,9;5,1;3,4;3,5;56;75,5;90;9;67
22.04.2012;3,7;8,1;13;4,4;0,7;0,9;51;77,2;95;9;46
23.04.2012;3,7;9,1;14,4;5,8;1,4;0,9;43;68,5;97;11;41
24.04.2012;7;8,7;11,2;2,6;5,0;5,4;68;85;99;8;33
25.04.2012;7,2;10,2;13,5;5,4;7,1;5,7;56;79,5;94;13;50
26.04.2012;10;12;15,3;-;-;8,9;51;68,5;95;17;-
27.04.2012;9,7;12,8;17,2;3,1;4,1;8,5;48;68;97;8;30
28.04.2012;10,6;17,7;27,6;6,8;0,0;9,7;32;73,9;100;9;39
29.04.2012;11,9;16,1;22,3;4;0,0;8,9;52;77,1;89;8;41
30.04.2012;8,2;17,1;23;8,8;2,4;4,2;39;63,1;100;9;46
01.05.2012;12,1;16,8;21,1;6,5;0,0;11,7;53;72;94;7;22
02.05.2012;12,3;14,9;19,3;1,3;4,3;8,8;75;88,2;98;8;30
03.05.2012;9,6;13;17,4;1,7;0,0;6;59;79,6;100;6;26
04.05.2012;9,4;14,9;20,6;8,5;5,5;9;45;67,5;91;9;41
05.05.2012;7,7;8,6;9,5;0;4,0;7;85;92,3;97;9;30
06.05.2012;6,8;7,9;10;0;1,2;6,3;84;88,2;95;10;30
07.05.2012;6,8;9,7;14,7;7;0,0;0,8;50;76,1;94;5;19
08.05.2012;7,1;15,3;21,5;7,4;0,1;0,8;40;64,2;92;12;39
09.05.2012;13,4;16,3;20,3;2,4;0,7;11;71;84;100;7;28
10.05.2012;14;20,4;25,8;1,8;0,1;12;57;74,9;100;10;35
11.05.2012;9,7;17,1;20,9;1;1,5;8,4;59;75,5;92;9;37
12.05.2012;5;9,6;13,1;5,6;0,1;1,9;53;69,5;88;11;30
13.05.2012;1,9;8,2;14,6;11,8;0,0;-0,9;39;67,7;100;5;24
14.05.2012;3,1;11,9;19,1;14,7;0,8;0,3;37;62,2;99;8;26
15.05.2012;6,4;8,9;13;2,6;11,6;5,9;65;79,8;95;10;37
16.05.2012;2,8;8,4;13,1;7,9;0,2;-0,5;41;70,7;94;14;52
17.05.2012;0,9;10,2;16,8;11,8;0,0;-2,2;35;60;100;8;33
18.05.2012;10,8;14,4;19,1;3,5;0,1;9,4;45;58,8;87;14;46
19.05.2012;12,4;16,9;22,6;9,7;0,0;9,6;50;71,9;92;7;24
20.05.2012;13,1;18,5;25,6;7,6;0,0;10,3;47;72,8;94;6;30
21.05.2012;13,1;19,1;25,9;6,9;0,0;10;53;75,2;98;8;35
22.05.2012;15,2;20,5;27,8;8,6;0,0;13,9;48;74,9;95;7;19
23.05.2012;15,1;19,1;26,1;7;0,0;12,7;59;81,6;99;6;30
24.05.2012;14,8;22,4;29,5;14,6;0,0;11,6;40;65;100;9;39
25.05.2012;11,6;19,5;25,7;15,4;0,0;8,7;26;46,8;72;13;52
26.05.2012;9,7;19,6;26,6;15,4;0,0;7,2;30;50,1;85;10;39
27.05.2012;10,8;19,4;26,4;12,3;0,1;8,4;31;56,5;91;6;26
28.05.2012;12,1;20;26,6;14,4;0,0;10,3;35;60,9;96;8;33
29.05.2012;11,7;18,1;23,6;12,5;0,0;9,1;44;63,8;87;9;30
30.05.2012;13,3;18,1;23,6;12,2;0,0;11,5;41;59;91;7;28
31.05.2012;12,7;16,9;22,2;1,8;1,4;11,1;58;77,5;97;9;43
01.06.2012;10,2;13,9;16,8;2,1;0,0;8,6;64;77,9;89;10;31
02.06.2012;7,4;13,5;18,3;13,4;0,5;5,7;40;59,1;94;7;33
03.06.2012;8,7;10,2;11,9;0;11,9;8,6;57;89,8;98;7;24
04.06.2012;7,9;11,1;17,5;1,4;5,8;6,4;65;91,1;98;9;59
05.06.2012;6,9;11,9;16,8;10;1,0;6;45;66,4;96;7;24
06.06.2012;10;13,3;18,7;2,2;13,5;8,9;65;82,5;98;8;33
07.06.2012;14,2;18,3;23,4;4,6;0,2;13,3;56;74,7;96;9;43
08.06.2012;11,9;17,1;21,4;9;1,0;10,1;47;64,3;93;11;54
